Population,ID,Treatment,Fate,Survival,Longevity,TFC,Shoot,LMAleaf,Peelleaf,Aboveground,Belowground,Biomass,RSratio,Area,LMA
Koko,K35A,C,TD,1,19,29.21386594,,,,,,,,,
Koko,K36A,C,TD,1,14,30.83212674,,,,,,,,,
Koko,K49A,PD,TD,0,,,,,,,,,,,
Koko,K50A,PD,TD,0,,,,,,,,,,,
Koko,K51A,PD,TD,0,,,,,,,,,,,
Koko,K52A,PD,TD,0,,,,,,,,,,,
Koko,K53A,PD,TD,0,,,,,,,,,,,
Koko,K54A,PD,TD,0,,,,,,,,,,,
Koko,K55A,PD,TD,0,,,,,,,,,,,
Koko,K56A,PD,TD,0,,,,,,,,,,,
Koko,K57A,PD,TD,0,,,,,,,,,,,
Koko,K58A,PD,TD,0,,,,,,,,,,,
Koko,K59A,PD,TD,1,35,29.33736479,,,,,,,,,
Koko,K60A,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K23B,C,TD,1,14,49.06311217,,,,,,,,,
Ohikilolo1,K24B,C,TD,1,30,29.68230985,,,,,,,,,
Ohikilolo1,K25B,C,TD,1,30,30.04854782,,,,,,,,,
Ohikilolo1,K26B,C,TD,1,30,27.60838089,,,,,,,,,
Ohikilolo1,K27B,C,TD,1,30,29.07759135,,,,,,,,,
Ohikilolo1,K28B,C,TD,1,42,34.08568265,,,,,,,,,
Ohikilolo1,K29B,C,TD,1,14,46.30355166,,,,,,,,,
Ohikilolo1,K30B,C,TD,1,35,38.12281748,,,,,,,,,
Ohikilolo1,K31B,C,TD,1,35,33.02103739,,,,,,,,,
Ohikilolo1,K32B,C,TD,1,30,24.8658547,,,,,,,,,
Ohikilolo1,K33B,C,TD,1,14,50.18311898,,,,,,,,,
Ohikilolo1,K45B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K46B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K47B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K48B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K49B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K50B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K51B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K52B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K53B,PD,TD,0,,,,,,,,,,,
Ohikilolo1,K54B,PD,TD,1,42,25.11711098,,,,,,,,,
Ohikilolo1,K55B,PD,TD,0,,,,,,,,,,,
Saddle,K9C,C,TD,1,21,33.61298016,,,,,,,,,
Saddle,K10C,C,TD,1,19,27.18252278,,,,,,,,,
Saddle,K11C,C,TD,1,25,24.56775402,,,,,,,,,
Saddle,K12C,C,TD,1,25,29.80155012,,,,,,,,,
Saddle,K17C,PD,TD,1,21,33.39153394,,,,,,,,,
Saddle,K18C,PD,TD,1,25,30.49144025,,,,,,,,,
Saddle,K19C,PD,TD,0,,,,,,,,,,,
Saddle,K20C,PD,TD,1,21,30.8619368,,,,,,,,,
Keaau,K21D,C,TD,1,21,42.37265905,,,,,,,,,
Keaau,K22D,C,TD,1,14,35.49020216,,,,,,,,,
Keaau,K23D,C,TD,1,14,34.27873712,,,,,,,,,
Keaau,K24D,C,TD,1,14,32.59508689,,,,,,,,,
Keaau,K25D,C,TD,0,,,,,,,,,,,
Keaau,K26D,C,TD,1,14,31.98935437,,,,,,,,,
Keaau,K27D,C,TD,1,14,34.79861779,,,,,,,,,
Keaau,K28D,C,TD,1,14,35.776375,,,,,,,,,
Keaau,K29D,C,TD,1,29,34.56967951,,,,,,,,,
Keaau,K30D,C,TD,1,21,45.94505004,,,,,,,,,
Keaau,K41D,PD,TD,1,28,34.9607824,,,,,,,,,
Keaau,K42D,PD,TD,1,21,35.56651492,,,,,,,,,
Keaau,K43D,PD,TD,0,,,,,,,,,,,
Keaau,K44D,PD,TD,1,21,29.79059302,,,,,,,,,
Keaau,K45D,PD,TD,0,,,,,,,,,,,
Keaau,K46D,PD,TD,1,21,29.40902923,,,,,,,,,
Keaau,K47D,PD,TD,1,21,29.53303746,,,,,,,,,
Keaau,K48D,PD,TD,1,21,28.74606214,,,,,,,,,
Keaau,K49D,PD,TD,1,21,29.57596339,,,,,,,,,
Keaau,K50D,PD,TD,1,21,31.27869181,,,,,,,,,
Kealia,K21E,C,TD,1,14,32.99572887,,,,,,,,,
Kealia,K22E,C,TD,1,14,32.74294286,,,,,,,,,
Kealia,K23E,C,TD,1,14,33.56330501,,,,,,,,,
Kealia,K24E,C,TD,1,14,26.48052713,,,,,,,,,
Kealia,K25E,C,TD,1,14,24.32946126,,,,,,,,,
Kealia,K26E,C,TD,1,14,33.21512805,,,,,,,,,
Kealia,K27E,C,TD,1,14,33.11496756,,,,,,,,,
Kealia,K28E,C,TD,1,14,31.55055601,,,,,,,,,
Kealia,K29E,C,TD,1,14,23.96220611,,,,,,,,,
Kealia,K30E,C,TD,1,14,27.94000863,,,,,,,,,
Kealia,K41E,PD,TD,1,28,35.18018158,,,,,,,,,
Kealia,K42E,PD,TD,1,35,29.86213623,,,,,,,,,
Kealia,K43E,PD,TD,0,,,,,,,,,,,
Kealia,K44E,PD,TD,1,28,33.0386548,,,,,,,,,
Kealia,K45E,PD,TD,1,28,33.56807456,,,,,,,,,
Kealia,K46E,PD,TD,1,28,33.23420624,,,,,,,,,
Kealia,K47E,PD,TD,1,28,29.59504158,,,,,,,,,
Kealia,K48E,PD,TD,1,28,32.75248195,,,,,,,,,
Kealia,K49E,PD,TD,1,28,34.98939968,,,,,,,,,
Kealia,K50E,PD,TD,1,28,33.00049842,,,,,,,,,
Ohikilolo2,K21F,C,TD,1,21,30.33909097,,,,,,,,,
Ohikilolo2,K22F,C,TD,1,28,30.58710744,,,,,,,,,
Ohikilolo2,K23F,C,TD,1,28,36.5013462,,,,,,,,,
Ohikilolo2,K24F,C,TD,1,21,27.78738312,,,,,,,,,
Ohikilolo2,K25F,C,TD,1,21,32.86218154,,,,,,,,,
Ohikilolo2,K26F,C,TD,1,28,30.58710744,,,,,,,,,
Ohikilolo2,K27F,C,TD,1,7,55.82755224,,,,,,,,,
Ohikilolo2,K28F,C,TD,1,21,28.87960947,,,,,,,,,
Ohikilolo2,K29F,C,TD,1,21,28.26433786,,,,,,,,,
Ohikilolo2,K30F,C,TD,0,,,,,,,,,,,
Ohikilolo2,K41F,PD,TD,0,,,,,,,,,,,
Ohikilolo2,K42F,PD,TD,0,,,,,,,,,,,
Ohikilolo2,K43F,PD,TD,1,28,33.59192229,,,,,,,,,
Ohikilolo2,K44F,PD,TD,1,21,30.53464242,,,,,,,,,
Ohikilolo2,K45F,PD,TD,1,21,29.68566298,,,,,,,,,
Ohikilolo2,K46F,PD,TD,1,21,31.42177823,,,,,,,,,
Ohikilolo2,K47F,PD,TD,1,21,29.34225557,,,,,,,,,
Ohikilolo2,K48F,PD,TD,1,21,29.53780701,,,,,,,,,
Ohikilolo2,K49F,PD,TD,0,,,,,,,,,,,
Ohikilolo2,K50F,PD,TD,1,28,29.14670412,,,,,,,,,
Kahanahaiki,K21G,C,TD,1,21,31.1976095,,,,,,,,,
Kahanahaiki,K22G,C,TD,1,28,29.59504158,,,,,,,,,
Kahanahaiki,K23G,C,TD,1,21,29.86213623,,,,,,,,,
Kahanahaiki,K24G,C,TD,1,21,33.33436674,,,,,,,,,
Kahanahaiki,K25G,C,TD,1,21,29.3756424,,,,,,,,,
Kahanahaiki,K26G,C,TD,1,21,31.41700868,,,,,,,,,
Kahanahaiki,K27G,C,TD,1,28,31.1165272,,,,,,,,,
Kahanahaiki,K28G,C,TD,1,28,35.79545319,,,,,,,,,
Kahanahaiki,K29G,C,TD,1,21,38.2517701,,,,,,,,,
Kahanahaiki,K30G,C,TD,1,21,36.03870011,,,,,,,,,
Kahanahaiki,K41G,PD,TD,1,35,34.3979758,,,,,,,,,
Kahanahaiki,K42G,PD,TD,0,,,,,,,,,,,
Kahanahaiki,K43G,PD,TD,0,,,,,,,,,,,
Kahanahaiki,K44G,PD,TD,1,35,34.59352725,,,,,,,,,
Kahanahaiki,K45G,PD,TD,0,,,,,,,,,,,
Kahanahaiki,K46G,PD,TD,1,35,33.37252311,,,,,,,,,
Kahanahaiki,K47G,PD,TD,1,21,44.85282369,,,,,,,,,
Kahanahaiki,K48G,PD,TD,1,21,41.06580306,,,,,,,,,
Kahanahaiki,K49G,PD,TD,1,21,41.21842858,,,,,,,,,
Kahanahaiki,K50G,PD,TD,1,7,57.07717366,,,,,,,,,
Makaha,K21H,C,TD,1,21,32.33753133,,,,,,,,,
Makaha,K22H,C,TD,1,14,32.24214038,,,,,,,,,
Makaha,K23H,C,TD,1,14,33.04819389,,,,,,,,,
